English/Pinyin,Original Language,Notes,GND,Chinese,Tibetan 1,Tibetan 2,Tibetan 3,Tibetan 4,Tibetan 5,Tibetan 6,Tibetan 7,Tibetan 8,Tibetan 9,Tibetan 10,Tibetan 11,Tibetan 12
Abhaya,,,,無畏王,འཇིགས་མེད་,,,,,,,,,,,
Abraham Lincoln,Abraham Lincoln,,,林肯,ཨེབ་རམ་ལིང་ཁན་,,,,,,,,,,,
Acheson,Dean Gooderham Acheson,,,艾奇遜,ཨའི་ཆི་སོན་,,,,,,,,,,,
Aga,ꀊꇢ,,,阿呷,ཨ་ཀ་,,,,,,,,,,,
Ahmad,أحمد بن يحيى حميد الدين,,,艾哈邁德,འ་ཧ་མ་རྡི་,,,,,,,,,,,
Ajātaśatru,अजातशत्रु,,,阿闍世王,ཨ་ཇཱཏཤཏྲུ་,མ་སྐྱེས་དགྲ་,,,,,,,,,,
Alexander,Ἀλέξανδρος,Alexander the Great,,亞歷山大,ཨེ་ལེག་སན་དྷར་,,,,,,,,,,,
Ali Sabri,على صبرى,,https://explore.gnd.network/en/gnd/118890352,薩布里,ཨ་ལི་སབ་བྷི་རི་,,,,,,,,,,,
Alvin Hamilton,Francis Alvin G. Hamilton,,,漢密爾頓,ཨལ་ཝིན་ཧའེ་མེད་ཊོན་,,,,,,,,,,,
An Wenlie,安文烈,,,安文烈,གན་ཝོན་ལེན,,,,,,,,,,,
An Xifu,安錫福,,,安錫福,ནན་ཤིས་ཧྥུ་,,,,,,,,,,,
André Durand,André Durand,,,杜蘭德,ཨན་ཌེ་ཌ་རན་ཌ་,,,,,,,,,,,
Antonov,С. Антонов,,,安東諾夫,ཨན་ཏུང་ནོའོ་ཕུ་,,,,,,,,,,,
Āryadeva,आर्यदेव,,,提婆,ཨརྱ་དེ་ཝ་,འཕགས་པ་ལྷ་,,,,,,,,,,
Asaṅga,असङ्ग,,,無著,ཐོགས་མེད་,,,,,,,,,,,
Aśoka,अशोक,,,阿育王,ཨཤྭོཀ་,མྱ་ངན་མེད་,,,,,,,,,,
Ayub Khan,محمد ايوب خان,,,阿尤布·汗,ཨ་ཡུབ་ཁན་,ཨའེ་ཡུབ་ཧན་,ཨ་ཡི་པུའུ་ཧན་,,,,,,,,,
Bai Fuming,白福明,,,白福明,སྤེའེ་ཧྥུ་མིང་,,,,,,,,,,,
Bandaranaike,සිරිමාවෝ බණ්ඩාරනායක,,,班達拉奈克,བྷན་རྟ་ར་ནེ་ཀེ་,སྦན་ན་ར་ནི་ཀེ་,བྷན་རྡ་ར་ནི་ཀེ་,,,,,,,,,
Bao Qihuang,包啓黃,,,包啓黃,སྤོབ་ཆིས་ཧང་,,,,,,,,,,,
Bao Qing,ᠪᠣᠷᠵᠢᠨ,,,包庆,པའོ་ཆེན་,,,,,,,,,,,
Bhallika,,,,波利,བཟང་པོ་,,,,,,,,,,,
Bimbisāra,बिम्बिसारः,,,瓶沙王,བིམྦིས་ར་,གཟུགས་ཅན་སྙིང་པོ་,,,,,,,,,,
Buddhaghoṣa,,,,覺音,སངས་རྒྱས་དབྱངས་,,,,,,,,,,,
Bulganin,Николай Булганин,,,布爾加寧,བུའུ་ཨར་ཅ་ལིང་,,,,,,,,,,,
Candrakīrti,चंद्रकीर्ति,,,月稱,ཟླ་བ་གྲགས་པ་,,,,,,,,,,,
Cao Gongbi,曹公弼,,,曹公弼,ཚོམ་ཀང་བིས་,,,,,,,,,,,
Cao Rulin,曹汝霖,,,曹汝霖,ཚའོ་རུའི་ལིང་,,,,,,,,,,,
Castro,Fidel A. Castro Ruz,,,卡斯特羅,ཁ་སི་ཐེ་ལོ་,ཀ་སི་ཁྲ་རོ་,,,,,,,,,,
Chamoun,كميل نمر شمعون,,,夏蒙,ཤའ་མུང་,ཞའ་མུང་,,,,,,,,,,
Chang Gong,長弓,,,長弓,ཚོམ་ཀང་,,,,,,,,,,,
Chao Changqing,晁長清,,,晁長清,ཁྲའོ་ཁྲང་ཆིན་,,,,,,,,,,,
Chen Bocun,陳伯村,,,陳伯村,ཁྲིན་པེ་ཚུན་,,,,,,,,,,,
Chen Changgui,陳常貴,,,陳常貴,ཁྲིན་ཁྲང་གོ་,,,,,,,,,,,
Chen Duxiu,陳獨秀,,,陳獨秀,ཕྲིན་དུ་ཤུག་,,,,,,,,,,,
Chen Lifu,陳立夫,,,陳立夫,ཁྲན་ལི་ཧྥུ་,,,,,,,,,,,
Chen Qinghe,陳清和,,,陳清和,ཁྲིན་ཆིང་ཧོ་,,,,,,,,,,,
Chen Rongjun,陳榮俊,,,陳榮俊,ཁྲིན་ཡུན་ཇུན་,,,,,,,,,,,
Chen Shutong,陳叔通,,,陳叔通,ཁྲིན་ཤོ་ཐུང་,,,,,,,,,,,
Chen Yi,陳毅,,,陳毅,ཁྲིན་ཡིས་,ཁྲན་ཡི་,,,,,,,,,,
Chen Yun,陳雲,,,陳雲,ཁྲིན་ཡུན་,ཕྲིན་ཡུན་,,,,,,,,,,
Chen Zaidao,陳再道,,,陳再道,ཁྲན་ཛའི་ཏའོ་,,,,,,,,,,,
Chen Zhifen,陳志芬,,,陳志芬,ཁྲིན་དྲི་ཧྥང་,,,,,,,,,,,
Cheng Jianmin,程建民,,,程建民,ཁྲིན་ཅན་མེན་,,,,,,,,,,,
Cheng Shifa,程十髮,,,程十髮,ཕྲིན་ཧྲི་ཧྥ་,,,,,,,,,,,
Chiang Kai-shek,蔣介石,,https://explore.gnd.network/en/gnd/11867580X,蔣介石,ཇང་ཀེ་ཧྲི་,ཅང་ཀཻ་ཤེ་,ཅང་ཅེ་ཧྲི་,ཅང་ཀེ་ཧྲི་,ཀྱང་ཀྱི་ཤི་,ཅང་གད་ཧྲི་,,,,,,
Deng Hua,鄧華,,,鄧華,ཏེང་ཧྭ་,,,,,,,,,,,
Deng Renzhi,鄧仁智,,,鄧仁智,དིང་རིན་ཀྲི་,,,,,,,,,,,
Deng Shaodong,鄧少東,,,鄧少東,དིན་ཧྲའོ་ཏུང་,,,,,,,,,,,
Deng Xiaoping,鄧小平,,,鄧小平,ཏིན་ཤའོ་ཕྱིན་,དིན་སྐྱོབ་ཕུན་,དེང་སྒྱོབ་ཕིན་,རྟེན་ཞའོ་ཕིན་,ཏིན་ཞའོ་ཕིན་,,,,,,,
Dieckmann,Johannes Dieckmann,,,狄克曼,ཙི་ཁེ་མན་,,,,,,,,,,,
Ding Laifu,丁萊夫,,,丁萊夫,ཏིང་ལའི་ཕུའུ་,,,,,,,,,,,
Ding Ling,丁玲,,,丁玲,ཏིང་ལིང་,,,,,,,,,,,
Dong Biwu,董必武,,,董必武,གདོང་པེ་ཨུ་,ཏུང་བིས་ཨུ་,ཏུན་པིས་ཝུ་,,,,,,,,,
Du Hua'an,杜華安,,,杜華安,ཏུའུ་ཧྭ་ནན་,,,,,,,,,,,
Dulles,John Foster Dulles,,,杜勒斯,ཀྲ་ལི་སི་,,,,,,,,,,,
