English/Pinyin,Notes,GND,Chinese,Tibetan 1,Tibetan 2,Tibetan 3,Tibetan 4,Tibetan 5,Tibetan 6,Tibetan 7,Tibetan 8,Tibetan 9,Tibetan 10,Tibetan 11,Tibetan 12,Tibetan 13
Adam's Peak,Śrīpādaparvata,,亞當峰,རི་བོ་ཤྲཱི་པ་ད་,,,,,,,,,,,,
Afghanistan,,https://explore.gnd.network/gnd/4000687-6,阿富汗,ཨཕེ་ག་ནི་སི་ཐན་,ཨབ་གྷན་,ཨ་ཕུ་ཧོན་,ཨ་ཕ་ཀ་ནི་ས་ཏན་,,,,,,,,,
Africa,,https://explore.gnd.network/gnd/4000695-5,非洲,ཧྥིས་གླིང་,ཨ་ཕེ་རི་ཀ་,ཧྥུས་གླིང་,པེ་,ཨ་ཕི་རི་ཀ་,ཨེབ་རོ་,ཧྥའི་ཀྲུའུ་,ཧྥའི་,ཧིས་ཀྲུའུ་,ཨ་ཕི་རི་ཀ་,ཨབ་རི་ཀ་,,
Agra,,,阿格拉,ཨག་ར་,,,,,,,,,,,,
Ajanta,,,阿旃陀,ཨ་ཇན་ཏ་,,,,,,,,,,,,
Ajmer,,,阿傑梅爾,ཨཇི་མེར་,,,,,,,,,,,,
Aksay,,https://explore.gnd.network/gnd/1058332473,阿克塞,ཨར་ཁེ་ཙེ་,,,,,,,,,,,,
Alabama,,,亞拉巴馬,ཡ་ལའ་པའ་མའ་,,,,,,,,,,,,
Albania,,https://explore.gnd.network/gnd/4001028-4,阿爾巴尼亞,ཨར་པ་ཉི་ཡ་,ཨར་སྤ་ཉིས་ཡ་,ཨུ་རི་པ་འགྱི་ཡ་,ཡར་སྤ་ཉི་ཡ་,ཨལ་བྷད་ནི་ཡ་,ཨར་པ་ནི་ཡ་,,,,,,,
Algeria,,https://explore.gnd.network/gnd/4001179-3,阿爾及利亞,ཨལ་ཇི་རི་ཡ་,,,,,,,,,,,,
Algiers,,,阿爾及爾,ཨལ་འཇི་ཡར་སེ་,,,,,,,,,,,,
Alishan,,,阿里山,ཨ་ལི་,,,,,,,,,,,,
Allahabad,Prayagraj,,安拉阿巴德,ཨ་ལ་ཧ་བ་ད་,ཨ་ལ་ཧ་བྷ་ད་,,,,,,,,,,,
Almaty,,,阿拉木圖,ཨ་ནཱ་མུ་ཐུ་,ཨ་ལ་མུ་ཐུ་,ཨ་ལ་མོའུ་ཐོའུ་,,,,,,,,,,
Altai Mountains,,,阿爾泰山,ཨར་ཐེའི་,ཨ་ལི་ཐའེ་,,,,,,,,,,,
Altyn-Tagh,,,阿爾金山,ཨལ་རྟེན་ཏའི་རི་,,,,,,,,,,,,
Ambala,,,安巴拉,ཨམྦ་ལ་,,,,,,,,,,,,
Amdo,,https://explore.gnd.network/gnd/4079747-8,安多,ཨ་མདོ་,རྟའི་ཆོལ་ཁ་,མདོ་སྨད་,,,,,,,,,,
America,,https://explore.gnd.network/gnd/4078704-7,美國,ཨ་མི་རི་ཀ་,ཨ་མེ་རི་ཀ་,མེ་གོ་,ཨ་རི་,ཨ་མེ་རི་ག་,མེ་,ཨ་མེ་རི་ཁ་,ཨ་མི་རི་ཁ་,ཨ་མི་,མེ་ལིས་ཅོན་,,,
Amritsar,,,阿姆利則,ཨམ་བྷར་སར་,ཨམྲིཏ་སར་,ཨམ་འབར་སར་,ཨམ་འབར་ས་,ཨཾ་འབར་སར་,,,,,,,,
Andhra,,https://explore.gnd.network/gnd/4001934-2,安得拉,ཨན་ཏའེ་ལ་,,,,,,,,,,,,
Andong,,,安東,ཨཱན་ཏུང་,,,,,,,,,,,,
Angla,,,昂拉,སྣང་ར་,,,,,,,,,,,,
Anguo,,,安國,ཨན་གོ་,,,,,,,,,,,,
