Chinese 1,Chinese 2,Chinese 3,Chinese 4,English,Tibetan 1,Tibetan 2
久毛吉,,,,Chagmo Kyi,,
其美,,,,Chimey,འཆི་མེད།,
曲珍,,,,Choedon,ཆོས་སྒྲོན།,
确吉,,,,Choekyi,ཆོས་ཀྱི།,
确萨尔,,,,Choesar,,
群培,,,,Chonphel,ཆོས་འཕེལ།,
德庆,,,,Dechen,བདེ་ཆེན།,
德勒,,,,Delek,བདེ་ལེགས།,
顿珠,,,,Dhondup,དོན་འགྲུབ།,
卓玛,,,,Dolma,སྒྲོལ་མ།,
多杰,多吉,,,Dorje,རྡོ་རྗེ།,
格登,更敦,,,Gendun,དགེ་འདུན།,
格萨尔,,,,Gesar,གེ་སར།,
贡保,干布,,,Gonpo,མགོན་པོ།,
坚赞,江参,,,Gyaltsen,རྒྱལ་མཚན།,
嘉日,,,,Gyari,རྒྱ་རི།,
嘉措,,,,Gyatso,རྒྱ་མཚོ།,
强巴,,,,Jampa,བྱམས་པ་,
江白,,,,Jampel,འཇམ་དཔལ།,
嘉央,,,,Jamyang,བྱམ་དབྱངས།,
,,,,Jetsun,རྗེ་བཙུན།,
晋美,久美,,,Jigme,འཇིགས་མེད,
金巴,,,,Jinpa,སྦྱིན་པ།,
嘎登,,,,Kalden,སྐལ་ལྡན།,
嘎玛,,,,Karma,ཀརྨ།,
格桑,,,,Kesang,ལྐལ་བཟང་།,
格桑嘉,,,,Kesang Kyab,ལྐལ་བཟང་སྐྱབས།,
,,,,Khachoe,མཁའ་སྤྱོད་,
卡本加,,,,Kharbum Gyal,,
克珠,,,,Khechok,,
克珠,,,,Khedup,མཁས་གྲུབ་,
关曲,,,,Kunchok,ཀོན་མཆོག,
衮顿,,,,Kundun (Dalai Lama),སྐུ་མདུན།,
根呷,,,,Kunga,ཀུན་དགའ། ,
古桑,,,,Kunsang,ཀུན་བཟང་།,
拉顿,,,,Lhadon,,
拉毛,拉姆,,,Lhamo,ལྷ་མོ།,
拉莫嘉,,,,Lhamo Kyab,ལྷ་མོ་སྐྱབས།,
楞珠,,,,Lhundrub,ལྷུན་གྲུབ།,
洛桑,,,,Lobsang,བློ་བཟང་།,
洛地,,,,Lodi,,
洛卓,洛珠,,,Lodro,བློ་གྲོས།,
洛洛,,,,Lolo,,
鲁布嘉,,,,Lubhum Gyal,ཀླུ་འབུམ་རྒྱལ།,
米玛 ,,,,Migmar,མིག་དམར།,
朗色,,,,Namsel,,
阿沛,,,,Ngapo,རྔ་ཕོད།,
阿旺,,,,Ngawang,ངག་དབང་,
欧珠,,,,Ngodup,དངོས་གྲུབ།,
诺布,,,,Norbu,ནོར་བུ།,
诺培,,,,Norphel,,
念扎 ,,,,Nyandak,,
宁尕,,,,Nyangkar,,
尼玛,,,,Nyima,ཉི་མ།,
宁杰,,,,Nyinjey,རྙིང་རྗེ།,
华旦,,,,Palden,དཔལ་ལྡན།,
巴桑,,,,Pasang,པ་སངས།,
白珍 ,,,,Peldon,,
班玛,白玛,,,Pema,པདྨ།,
边巴,,,,Pemba,སྤེན་པ།,
普尔雄,,,,Phuljung,,
朋措,彭措,,,Phuntsok,ཕུན་ཚོགས།,
普布,,,,Phurbu,ཕུར་བུ།,
绕色,,,,Rabsal,རབ་གསལ།,
热振,,,,Reting,རྭ་སྒྲེང་།,
,,,,Rigzin,རིག་འཛིན།,
,,,,Rinchen,རིན་ཆེན།,
桑珠,,,,Samdrup,བསམ་གྲུབ།,
,,,,Samten,བསམ་གཏན་,
桑杰,,,,Sangay,སངས་རྒྱས།,
桑德,,,,Sangdag,བཟང་བདག,
谢旦,,,,Sherten,ཤེར་བསྟན།,
索南,索朗,,,Sonam,བསོད་ནམས།,
松赞,,,,Songtsen,སྲོང་བཙན།,
丹珍,,,,Tamdin,རྟ་མགྲིན།,
丹珍措,,,,Tamdin Tso,རྟ་མགྲིན་འཚོ།,
扎白,,,,Tapey,,
扎西,,,,Tashi,བཀྲ་ཤིས།,
丹增,当增,旦增,,Tenzin,བསྟན་འཛིན།,
赤列,,,,Thinley,འཕྲིན་ལས།,
土登,,,,Thubten,ཐུབ་བསྟན།,
仓央,,,,Tsangyang,ཚངས་དབྱངས།,
才让,次仁,,,Tsering,ཚེ་རིང་།,
才让吉,,,,Tsering Kyi, ཚེ་རིང་སྐྱིད།,
仁钦,才旦,次旦,,Tseten,ཚེ་བརྟན།,
才旺,,,,Tsewang,ཚེ་དབང་།,
,,,,Urgyen,ཨོ་རྒྱན།,
旺青,,,,Wangchen,དབང་ཆེན།,
旺堆,,,,Wangdu,དབང་འདུས། ,
旺姆,,,,Wangmo,དབང་མོ།,
旺嘉,,,,Wangyal,དབང་རྒྱལ།,
唯色,,,,Woeser,འོད་ཟེར།,
亚东,,,,Yadong,ཡ་དུང་།,ཡར་དུང་།
央宗,,,,Yangzom,དབྱངས་འཛོམས།,
益西,,,,Yeshe,ཡེ་ཤེས།,
一當孝,,,,Yidam Jabb,ཡི་དམ་སྐྱབས།,
